CorpName,StockCode,DartCode,CurrnetAsset,TotalLiab,MarketValue,NetAsset,NetAsset/MarketValue
모트렉스,118990,00876908,193040884654.0,319995988824.0,270429558360,-126955104170.0,-0.4694572033468154
에스티오,098660,00612188,44247286129.0,40546585764.0,30689896080,3700700365.0,0.12058367207739336
텔레칩스,054450,00423177,97400815995.0,87724619286.0,231626373650,9676196709.0,0.04177502136963582
HRS,036640,00230911,36354078302.0,13327312708.0,116119080000,23026765594.0,0.19830303162925508
덕성,004830,00114093,60359297274.0,39677608604.0,242256000000,20681688670.0,0.08537121338583978
KG케미칼,001390,00101220,1407339123198.0,2892473897698.0,439555243200,-1485134774500.0,-3.3787215542876727
녹십자엠에스,142280,00513948,81347537373.0,66589877873.0,156690239860,14757659500.0,0.09418365504568575
엔지스테크널러지,208860,01084364,63864511657.0,56665724526.0,25233717915,7198787131.0,0.28528444184282226
콤텍시스템,031820,00186559,105290317753.0,66713055259.0,107735804740,38577262494.0,0.35807281142141123
KISCO홀딩스,001940,00159740,1083407280839.0,229436787574.0,286383890000,853970493265.0,2.9819082814504685
핑거,163730,01142075,37284905134.0,14419660264.0,211573420600,22865244870.0,0.10807238832343197
송원산업,004430,00134963,457098000000.0,463937000000.0,490800000000,-6839000000.0,-0.01393439282803586
메디아나,041920,00273439,55838565988.0,11026565998.0,123360000000,44811999990.0,0.3632619973249027
와이엠씨,155650,00870861,71915324491.0,28979869457.0,147011274880,42935455034.0,0.2920555247823452
예선테크,250930,01166109,42385855244.0,32095110780.0,63855851400,10290744464.0,0.16115585711225833
티에스아이,277880,01139035,40426441130.0,24318391651.0,191829280500,16108049479.0,0.08397075481393988
롯데지주,004990,00120562,4055440646154.0,7997548780447.0,3288904579950,-3942108134293.0,-1.1986082412743426
서연,007860,00163114,980989215700.0,1361628859005.0,302889987600,-380639643305.0,-1.2566927230611435
동양피스톤,092780,00117726,,249936511312.0,81249398200,,
화천기공,000850,00166519,141392824221.0,87210708117.0,77660000000,54182116104.0,0.6976836995106876
올릭스,226950,01113718,64984952951.0,36612571731.0,561144402000,28372381220.0,0.05056163996090261
쿠쿠홀딩스,192400,00132354,358973426379.0,186362746428.0,682793952000,172610679951.0,0.2528005402587397
무림P&P,009580,00119007,491841834453.0,859770157428.0,261635119180,-367928322975.0,-1.4062650462527253
진성티이씨,036890,00174208,206163565125.0,160071473069.0,230443247000,46092092056.0,0.20001493927917097
SDN,099220,00574611,60628312634.0,100424641132.0,99958543440,-39796328498.0,-0.39812833529219743
로보티즈,108490,00946030,48574744825.0,10793167878.0,212643900000,37781576947.0,0.1776753386624305
카페24,042000,00260879,109689479800.0,112623589319.0,597300606900,-2934109519.0,-0.004912282835653017
애경산업,018250,00139454,,124717163995.0,505750255250,,
노터스,278650,01189438,23188715980.0,19462277057.0,224964919200,3726438923.0,0.01656453342259596
휴네시온,290270,01251577,15379523472.0,4844049423.0,62257714560,10535474049.0,0.169223591380737
파워넷,037030,00231354,78706557560.0,63507401904.0,92346985620,15199155656.0,0.16458745842060546
현대글로비스,086280,00360595,6422444582372.0,6407451794653.0,6412500000000,14992787719.0,0.0023380565643664718
KPX케미칼,025000,00191472,402628607122.0,159506212241.0,268620000000,243122394881.0,0.9050792751135432
디케이티,290550,01137903,69333478510.0,34308517205.0,213191524700,35024961305.0,0.1642887134199477
파트론,091700,00490151,338305689295.0,259431867819.0,679662945500,78873821476.0,0.11604843547558089
모바일어플라이언스,087260,00556615,53862898138.0,34095945294.0,133745277520,19766952844.0,0.1477955200402802
신원,009270,00136864,299147394998.0,242093941644.0,247523225670,57053453354.0,0.2304973733255405
덕신하우징,090410,00454937,73903926823.0,68462585242.0,101845849950,5441341581.0,0.05342722932423227
액트로,290740,01141942,46143669894.0,17429371120.0,86458444490,28714298774.0,0.3321167636473169
신풍제약,019170,00137359,317618489747.0,99217385958.0,1759101668000,218401103789.0,0.12415490688341499
에스티아이,039440,00298340,121636128698.0,58278023767.0,296812500000,63358104931.0,0.21346171381259213
디오,039840,00115931,180149588720.0,161942274304.0,571029985800,18207314416.0,0.0318850408363266
KMH,122450,00657987,144524151955.0,330780179025.0,353167159560,-186256027070.0,-0.5273877313565921
그리티,204020,00671978,74156855997.0,24105615562.0,50972997900,50051240435.0,0.9819167499857803
모두투어,080160,00456218,89376027624.0,165812445142.0,391230000000,-76436417518.0,-0.19537463261508575
자비스,254120,01174038,13990809124.0,19972750265.0,50797276930,-5981941141.0,-0.1177610593033023
유니크,011320,00147152,94820348736.0,112447050710.0,126550552250,-17626701974.0,-0.1392858558149832
아이큐어,175250,00554352,69135539970.0,128201511202.0,192202434400,-59065971232.0,-0.3073112544926226
NICE평가정보,030190,00158325,194377946088.0,110930599768.0,1098938242000,83447346320.0,0.07593451854776749
제노레이,122310,00799539,63571116609.0,21075503990.0,134768595440,42495612619.0,0.3153228130059378
한세엠케이,069640,00357360,115932218732.0,85344047490.0,52605487150,30588171242.0,0.5814635107318838
매일홀딩스,005990,00120924,557408692280.0,469881479716.0,126208396800,87527212564.0,0.6935133856640512
세아베스틸,001430,00106669,1328247088632.0,1502539754826.0,740552757350,-174292666194.0,-0.23535482713978448
상신전자,263810,00760999,49064131915.0,26559440463.0,58688238160,22504691452.0,0.383461697906932
크리스탈신소재,900250,01107665,748942313.0,81293603.0,99981181700,667648710.0,0.00667774373784982
쎄니트,037760,00239596,68764052662.0,89477480951.0,69864981865,-20713428289.0,-0.2964779741734497
HSD엔진,082740,00361008,295594320676.0,526699636011.0,389187979180,-231105315335.0,-0.5938141147676955
중앙에너비스,000440,00149770,20833170945.0,9455215695.0,95586445500,11377955250.0,0.1190331452381499
하이즈항공,221840,00688358,64774180521.0,69751960290.0,78305538975,-4977779769.0,-0.0635686802512044
비에이치,090460,00447609,240849756702.0,214462606114.0,726916548000,26387150588.0,0.036300109910278176
레드캡투어,038390,00261355,54101300885.0,306003759133.0,174795918000,-251902458248.0,-1.4411232317679181
인콘,083640,00475976,52104410283.0,19271126940.0,76366494990,32833283343.0,0.42994356814856355
비에이치아이,083650,00409788,119411519648.0,283138924893.0,103090000000,-163727405245.0,-1.5881987122417305
하나투어,039130,00269940,176330997547.0,576844236789.0,1009196994000,-400513239242.0,-0.39686328994555053
인바디,041830,00269922,97790044064.0,20491560844.0,313358607800,77298483220.0,0.24667738908686843
진바이오텍,086060,00491053,40711440859.0,15525608351.0,46583275670,25185832508.0,0.5406625477868633
유니셈,036200,00260569,159309170342.0,56028801007.0,412433799350,103280369335.0,0.2504168414367856
셀트리온,068270,00413046,2682563115409.0,1584928830521.0,28555055496000,1097634284888.0,0.03843922786428333
하이트진로,000080,00150244,1461062893963.0,2808823523960.0,2093488288350,-1347760629997.0,-0.6437870407477888
현대일렉트릭,267260,01205851,1433075555291.0,1533539486501.0,744373337750,-100463931210.0,-0.1349644407115252
인트로메딕,150840,00661157,18915039422.0,9070651523.0,292107912800,9844387899.0,0.033701202424256956
태영건설,009410,00153861,2428472881797.0,3056801754569.0,400660709400,-628328872772.0,-1.5682318181708885
와이팜,332570,01015160,84575777462.0,20002716026.0,276331688640,64573061436.0,0.23367953836132285
대원화성,024890,00112022,74853906191.0,67042987239.0,182733743360,7810918952.0,0.04274480896837903
삼천리,004690,00128555,1628854481518.0,2783549923355.0,358869712500,-1154695441837.0,-3.217589564170869
포스코인터내셔널,047050,00124504,6015424472000.0,6377843869000.0,2677240733300,-362419397000.0,-0.13537049264646342
와이제이엠게임즈,193250,01035678,28497960949.0,17443853925.0,215582017430,11054107024.0,0.051275645138580704
켄코아에어로스페이스,274090,01158553,67766696973.0,77072358149.0,143765873600,-9305661176.0,-0.06472788668812429
아난티,025980,00161781,392751835302.0,817898323773.0,865093259450,-425146488471.0,-0.49144584566673793
케어랩스,263700,01187148,98796324945.0,59542329996.0,163225223040,39253994949.0,0.24048976143460626
동아타이어,282690,01262458,100783998292.0,26964348106.0,174409290500,73819650186.0,0.42325526337715363
알에스오토메이션,140670,00858124,50199822541.0,37696230944.0,117885663000,12503591597.0,0.1060654135439693
매커스,093520,00596677,145358894979.0,96417342678.0,127203534040,48941552301.0,0.3847499416612907
GS,078930,00500254,3821720000000.0,16134997000000.0,3832759342500,-12313277000000.0,-3.2126402676689843
JTC,950170,01041828,11554942816.0,23403280537.0,141772343850,-11848337721.0,-0.08357298327194158
LS,006260,00105952,7090363000000.0,7618151000000.0,1722700000000,-527788000000.0,-0.3063725547106287
파버나인,177830,00429694,51278176442.0,66736809361.0,64107148560,-15458632919.0,-0.24113742798171336
삼양옵틱스,225190,00992543,25719925112.0,16424784839.0,111318900000,9295140273.0,0.08350010890333986
HMM,011200,00164645,3274631000000.0,8602524000000.0,14084337484800,-5327893000000.0,-0.3782849570134152
엔비티,236810,01051065,32548208013.0,9450103483.0,207948968500,23098104530.0,0.1110758312321227
